Name: user
Date: 03-May-2025
Date	Time	SP 2%CO	Flow 2%CO	SP H2	Flow H2	SP He Low	Flow He Low	SP 1%NO	Flow 1%NO	SP 0.5%Propene	Flow 0.5%Propene	sp O2	Flow O2	Target Oven SP	Oven Ramp	Oven Temp	Oven Temp internal	Oven %	Oven actual SP
03-May-2025	00:00:05	 25.000	 25.011	  0.000	  0.000	 15.000	 15.060	  0.000	  0.000	  0.000	 -0.009	 10.000	 10.011	 30.000	  2.000	262.700	  0.000	 46.700	262.400
03-May-2025	00:00:10	 25.000	 24.994	  0.000	  0.000	 15.000	 15.077	  0.000	  0.000	  0.000	 -0.016	 10.000	  9.992	 30.000	  2.000	262.500	  0.000	 46.700	262.300
03-May-2025	00:00:15	 25.000	 24.970	  0.000	  0.000	 15.000	 14.928	  0.000	  0.000	  0.000	 -0.012	 10.000	  9.984	 30.000	  2.000	262.400	  0.000	 46.600	262.100
03-May-2025	00:00:20	 25.000	 24.972	  0.000	  0.000	 15.000	 15.036	  0.000	  0.000	  0.000	 -0.014	 10.000	  9.994	 30.000	  2.000	262.200	  0.000	 46.600	261.900
03-May-2025	00:00:25	 25.000	 24.995	  0.000	  0.000	 15.000	 15.253	  0.000	  0.000	  0.000	 -0.017	 10.000	 10.004	 30.000	  2.000	262.000	  0.000	 46.600	261.800
03-May-2025	00:00:30	 25.000	 25.032	  0.000	  0.000	 15.000	 15.042	  0.000	  0.000	  0.000	 -0.011	 10.000	  9.986	 30.000	  2.000	261.900	  0.000	 46.600	261.600
03-May-2025	00:00:35	 25.000	 25.022	  0.000	  0.000	 15.000	 14.943	  0.000	  0.000	  0.000	 -0.012	 10.000	 10.013	 30.000	  2.000	261.700	  0.000	 46.600	261.400
03-May-2025	00:00:40	 25.000	 24.983	  0.000	  0.000	 15.000	 15.015	  0.000	  0.000	  0.000	 -0.021	 10.000	 10.008	 30.000	  2.000	261.500	  0.000	 46.600	261.300
03-May-2025	00:00:45	 25.000	 24.993	  0.000	  0.000	 15.000	 14.957	  0.000	  0.000	  0.000	 -0.012	 10.000	  9.987	 30.000	  2.000	261.400	  0.000	 46.500	261.100
03-May-2025	00:00:50	 25.000	 24.987	  0.000	  0.000	 15.000	 14.922	  0.000	  0.000	  0.000	 -0.008	 10.000	  9.986	 30.000	  2.000	261.200	  0.000	 46.500	260.900
03-May-2025	00:00:55	 25.000	 25.020	  0.000	  0.000	 15.000	 14.991	  0.000	  0.000	  0.000	 -0.011	 10.000	  9.990	 30.000	  2.000	261.000	  0.000	 46.400	260.800
03-May-2025	00:01:00	 25.000	 24.993	  0.000	  0.000	 15.000	 15.053	  0.000	  0.000	  0.000	 -0.005	 10.000	 10.004	 30.000	  2.000	260.900	  0.000	 46.500	260.600
03-May-2025	00:01:05	 25.000	 24.996	  0.000	  0.000	 15.000	 14.923	  0.000	  0.000	  0.000	 -0.007	 10.000	  9.980	 30.000	  2.000	260.700	  0.000	 46.500	260.400
